Description,Amino Acids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BENS940104,14,0.8,0.3,-1.6,-2.2,-1.9,1.0,-2.1,-1.8,0.7,-1.6,0.0,-1.5,-1.4,-1.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,15,0.1,0.3,-0.3,-2.1,1.5,-2.3,-2.8,-0.6,-1.6,-0.5,-1.2,-1.5,-1.3,0.0,0.4,2.6,0.0,0.0,0.0,0.0,0.0
BENS940104,16,0.9,-0.6,0.9,-2.1,-1.9,-1.7,-2.1,-2.1,-1.8,0.8,-1.9,1.0,0.7,-2.1,1.1,1.0,4.0,0.0,0.0,0.0,0.0
BENS940104,17,-2.2,1.8,-3.0,-2.9,4.1,-2.3,-3.2,1.4,-2.1,-2.2,-0.3,-3.0,-2.0,0.0,-1.6,0.8,-2.2,7.5,0.0,0.0,0.0
BENS940104,18,-2.4,-1.9,2.5,2.3,2.6,-0.8,-0.9,-1.8,2.3,-1.6,-1.6,-0.8,-2.9,2.0,-2.3,0.3,-2.1,-0.5,6.5,0.0,0.0
BENS940104,19,1.0,-2.1,-2.2,1.0,-2.2,-2.0,1.3,1.1,-2.1,1.0,1.1,-2.1,1.0,1.0,-2.1,-2.2,-2.2,-2.1,-2.2,4.1,0.0
BENS940104,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,1,-0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,2,-0.14,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,3,-0.08,-0.01,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,4,0.04,-0.2,-0.14,-0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,5,-0.01,0.57,0.2,0.19,-0.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,6,0.08,0.34,0.13,0.37,-0.51,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,7,0.11,-0.11,0.22,0.11,0.25,-0.13,-0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,8,-0.11,0.13,0.32,0.22,0.18,0.05,-0.19,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,9,-0.1,-0.29,-0.37,-0.54,0.26,-0.43,-0.51,-0.22,-0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,10,0.2,-0.2,-0.39,-0.55,0.23,-0.3,-0.45,-0.14,-0.12,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,11,-0.07,0.47,0.22,0.18,-0.43,0.52,0.54,-0.23,-0.09,-0.4,-0.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,12,0.15,-0.17,-0.11,-0.25,0.1,-0.18,-0.14,-0.01,-0.19,0.36,0.38,-0.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,13,-0.25,-0.31,-0.33,-0.4,0.3,-0.44,-0.5,-0.09,-0.06,0.6,0.44,-0.41,0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,14,-0.07,-0.17,0.05,0.09,0.02,-0.03,-0.11,0.25,0.05,-0.19,-0.2,-0.17,-0.17,-0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,15,0.14,-0.16,0.14,0.22,0.1,-0.06,-0.17,0.29,0.14,-0.27,-0.19,-0.24,-0.17,-0.01,0.27,1.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,16,0.11,-0.32,0.13,0.23,0.14,-0.15,-0.27,-0.02,0.08,0.0,-0.04,-0.24,-0.02,0.02,0.2,0.45,1.0,0.0,0.0,0.0,0.0
CSEM940101,17,-0.25,-0.03,-0.39,-0.41,0.18,-0.17,-0.22,-0.08,-0.11,0.36,0.22,-0.22,0.16,0.41,-0.13,-0.17,-0.12,1.0,0.0,0.0,0.0
CSEM940101,18,-0.36,-0.03,-0.27,-0.34,0.21,-0.28,-0.32,-0.24,0.08,0.43,0.17,-0.2,0.07,0.54,-0.23,-0.21,-0.14,0.43,1.0,0.0,0.0
CSEM940101,19,0.06,-0.29,-0.46,-0.48,0.33,-0.38,-0.44,-0.12,-0.18,0.7,0.49,-0.36,0.23,0.47,-0.17,-0.18,0.07,0.29,0.31,1.0,0.0
CSEM940101,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSEM940101,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAYM780301,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAYM780301,1,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAYM780301,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAYM780301,3,0.0,-1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAYM780301,4,-2.0,-4.0,-4.0,-5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAYM780301,5,0.0,1.0,1.0,2.0,-5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAYM780301,6,0.0,-1.0,1.0,3.0,-5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAYM780301,7,1.0,-3.0,0.0,1.0,-3.0,-1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
